,molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
103,CHEMBL347673,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c1ccccc1)C(C)(C)C,active,475.6740000000002,5.047100000000003,4.0,4.0,7.0
104,CHEMBL154044,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C)c1)CC(=O)NO)C(C)(C)C,active,467.6100000000002,3.773320000000002,4.0,4.0,9.0
106,CHEMBL156830,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc2c(c1)Cc1ccccc1-2)CC(=O)NO)C(C)(C)C)c1ccccc1,active,555.7190000000003,5.500500000000005,4.0,4.0,7.958607314841775
107,CHEMBL345305,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C(F)(F)F)c1)CC(=O)NO)C(C)(C)C)c1ccccc1,inactive,611.705,6.615100000000006,4.0,4.0,4.2839966563652006
108,CHEMBL152277,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(F)c1)CC(=O)NO)C(C)(C)C)c1ccccc1,active,561.6980000000002,5.735400000000005,4.0,4.0,6.474955192963154
109,CHEMBL345447,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)cc1)CC(=O)NO)C(C)(C)C)c1ccccc1,active,543.7080000000002,5.596300000000005,4.0,4.0,7.468521082957745
110,CHEMBL154040,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCC1CCCCC1)CC(=O)NO)C(C)(C)C)c1ccccc1,active,473.6580000000002,4.657000000000003,4.0,4.0,6.036212172654444
112,CHEMBL154551,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(C)(C)C)c1ccccc1,active,467.6100000000002,3.9293000000000013,4.0,4.0,7.214670164989233
113,CHEMBL443818,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(F)c1)CC(=O)NO)C(=O)NC(c1ccccc1)c1ccccc1,active,623.7690000000001,6.763800000000006,4.0,4.0,7.3872161432802645
115,CHEMBL20154,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(C)(C)C,active,377.4850000000001,1.7979000000000003,4.0,4.0,9.42021640338319
116,CHEMBL3084966,COc1ccc(-c2ccc(S(=O)(=O)N[C@@](C)(C(=O)O)C3CCC(O)CC3)cc2)cc1,active,433.5260000000002,3.034900000000002,3.0,5.0,6.600326278518962
117,CHEMBL101121,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,active,430.4600000000002,3.540300000000002,2.0,5.0,8.522878745280337
118,CHEMBL297792,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,active,464.56800000000015,3.9118200000000023,3.0,4.0,7.698970004336019
119,CHEMBL103442,O=C(NO)C(CCN1C(=O)c2ccccc2S1(=O)=O)COc1ccc(-c2ccccc2)cc1,active,466.51500000000027,3.088800000000001,2.0,6.0,8.154901959985743
120,CHEMBL155874,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(Br)cc1,active,542.4110000000002,4.156900000000002,4.0,4.0,8.585026652029182
121,CHEMBL160940,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)s2)cc1,active,369.46400000000006,2.8112000000000013,2.0,5.0,7.180456064458132
122,CHEMBL160153,CSc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)cc1,active,447.54200000000014,2.4387000000000008,2.0,8.0,7.886056647693163
123,CHEMBL158265,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CC[C@H](O)C=C3Br)cc2)cc1,active,496.37900000000013,3.1434000000000015,3.0,5.0,7.42021640338319
